OG,len,i,sp
OG0003943,470,Gene.95723__NODE_23714_length_2070_cov_95.449072_g9652_i0__g.95723__m.95723,Cruzella_marina
OG0003304,665,Gene.96160__NODE_23906_length_2059_cov_185.906155_g9734_i0__g.96160__m.96160,Cruzella_marina
OG0003122,665,Gene.96380__NODE_24000_length_2053_cov_7575.055162_g9767_i0__g.96380__m.96380,Cruzella_marina
OG0002860,678,Gene.96477__NODE_24042_length_2050_cov_78.711607_g9785_i0__g.96477__m.96477,Cruzella_marina
OG0003302,650,Gene.96576__NODE_24081_length_2048_cov_35.443430_g9659_i2__g.96576__m.96576,Cruzella_marina
OG0002699,663,Gene.96616__NODE_24099_length_2047_cov_22.585787_g9465_i1__g.96616__m.96616,Cruzella_marina
OG0002855,665,Gene.96737__NODE_24148_length_2044_cov_601.855109_g9831_i0__g.96737__m.96737,Cruzella_marina
OG0004273,242,Gene.96768__NODE_24161_length_2043_cov_9125.846389_g9839_i0__g.96768__m.96768,Cruzella_marina
OG0003449,654,Gene.96811__NODE_24178_length_2043_cov_10.700916_g9849_i0__g.96811__m.96811,Cruzella_marina
OG0002630,524,Gene.96825__NODE_24186_length_2042_cov_90.024427_g9857_i0__g.96825__m.96825,Cruzella_marina
OG0002548,634,Gene.96899__NODE_24218_length_2040_cov_174.456444_g9870_i1__g.96899__m.96899,Cruzella_marina
OG0003991,298,Gene.96967__NODE_24245_length_2038_cov_115.615502_g9882_i0__g.96967__m.96967,Cruzella_marina
OG0003863,352,Gene.97048__NODE_24283_length_2036_cov_87.820316_g9898_i0__g.97048__m.97048,Cruzella_marina
OG0003309,473,Gene.97129__NODE_24312_length_2034_cov_431.502299_g9912_i0__g.97129__m.97129,Cruzella_marina
OG0003903,576,Gene.97155__NODE_24321_length_2034_cov_15.564640_g9914_i0__g.97155__m.97155,Cruzella_marina
OG0003020,470,Gene.97669__NODE_24537_length_2022_cov_436.454499_g9997_i0__g.97669__m.97669,Cruzella_marina
OG0002627,574,Gene.97809__NODE_24595_length_2019_cov_88.602472_g10019_i0__g.97809__m.97809,Cruzella_marina
OG0003080,427,Gene.97893__NODE_24628_length_2017_cov_96.510309_g5327_i3__g.97893__m.97893,Cruzella_marina
OG0002598,641,Gene.97974__NODE_24663_length_2015_cov_55.210010_g1586_i3__g.97974__m.97974,Cruzella_marina
OG0002802,670,Gene.98105__NODE_24724_length_2012_cov_28.650129_g4485_i8__g.98105__m.98105,Cruzella_marina
OG0002649,460,Gene.98250__NODE_24786_length_2008_cov_198.274987_g10099_i0__g.98250__m.98250,Cruzella_marina
OG0002870,587,Gene.98431__NODE_24863_length_2004_cov_389.662688_g10132_i0__g.98431__m.98431,Cruzella_marina
OG0002592,590,Gene.98522__NODE_24900_length_2002_cov_50.620779_g10149_i0__g.98522__m.98522,Cruzella_marina
OG0002954,641,Gene.98582__NODE_24922_length_2001_cov_15.208420_g10156_i0__g.98582__m.98582,Cruzella_marina
OG0003988,397,Gene.98674__NODE_24966_length_1997_cov_129.323438_g10109_i1__g.98674__m.98674,Cruzella_marina
OG0002573,591,Gene.98780__NODE_25013_length_1994_cov_76.113719_g10190_i0__g.98780__m.98780,Cruzella_marina
OG0002624,531,Gene.98838__NODE_25040_length_1993_cov_19.722860_g10197_i0__g.98838__m.98838,Cruzella_marina
OG0002987,613,Gene.98970__NODE_25099_length_1988_cov_48.195186_g10217_i0__g.98970__m.98970,Cruzella_marina
OG0003019,460,Gene.99088__NODE_25153_length_1985_cov_4044.156709_g10244_i0__g.99088__m.99088,Cruzella_marina
OG0002744,264,Gene.99389__NODE_25277_length_1978_cov_134.361915_g10292_i0__g.99389__m.99389,Cruzella_marina
OG0003586,282,Gene.99439__NODE_25302_length_1976_cov_52.730911_g10302_i0__g.99439__m.99439,Cruzella_marina
OG0003347,616,Gene.99728__NODE_25423_length_1968_cov_120.032787_g10346_i0__g.99728__m.99728,Cruzella_marina
OG0002848,617,Gene.99730__NODE_25424_length_1968_cov_81.401375_g10347_i0__g.99730__m.99730,Cruzella_marina
OG0002890,618,Gene.99813__NODE_25454_length_1966_cov_142.492324_g10358_i0__g.99813__m.99813,Cruzella_marina
OG0002806,582,Gene.100248__NODE_25645_length_1954_cov_33.254662_g5691_i1__g.100248__m.100248,Cruzella_marina
OG0003872,440,Gene.100356__NODE_25695_length_1951_cov_33.304162_g10450_i0__g.100356__m.100356,Cruzella_marina
OG0003492,617,Gene.100392__NODE_25712_length_1950_cov_49.995729_g3337_i12__g.100392__m.100392,Cruzella_marina
OG0002660,376,Gene.100463__NODE_25741_length_1948_cov_238.397648_g10464_i0__g.100463__m.100463,Cruzella_marina
OG0004179,165,Gene.100619__NODE_25805_length_1944_cov_63.261382_g10492_i0__g.100619__m.100619,Cruzella_marina
OG0002625,533,Gene.100755__NODE_25862_length_1940_cov_244.516371_g10520_i0__g.100755__m.100755,Cruzella_marina
OG0002633,593,Gene.100771__NODE_25869_length_1940_cov_91.974772_g10379_i1__g.100771__m.100771,Cruzella_marina
OG0002588,499,Gene.100805__NODE_25884_length_1939_cov_46.853383_g10526_i0__g.100805__m.100805,Cruzella_marina
OG0003760,575,Gene.100981__NODE_25957_length_1935_cov_38.768568_g10534_i1__g.100981__m.100981,Cruzella_marina
OG0003176,302,Gene.100983__NODE_25958_length_1935_cov_35.266416_g4510_i2__g.100983__m.100983,Cruzella_marina
OG0003120,246,Gene.101250__NODE_26066_length_1928_cov_35.888709_g10604_i0__g.101250__m.101250,Cruzella_marina
OG0002535,586,Gene.101252__NODE_26067_length_1928_cov_31.320908_g1802_i2__g.101252__m.101252,Cruzella_marina
OG0002940,623,Gene.101361__NODE_26113_length_1925_cov_164.872835_g10621_i0__g.101361__m.101361,Cruzella_marina
OG0002559,584,Gene.101431__NODE_26143_length_1924_cov_12.235517_g10632_i0__g.101431__m.101431,Cruzella_marina
OG0003338,563,Gene.101665__NODE_26249_length_1918_cov_43.171103_g10662_i0__g.101665__m.101665,Cruzella_marina
OG0003546,336,Gene.101904__NODE_26352_length_1911_cov_327.064885_g10696_i0__g.101904__m.101904,Cruzella_marina
OG0003572,351,Gene.20189__NODE_2640_length_5728_cov_15.127942_g1276_i0__g.20189__m.20189,Cruzella_marina
OG0003426,449,Gene.102069__NODE_26425_length_1906_cov_120.944779_g10730_i0__g.102069__m.102069,Cruzella_marina
OG0002613,504,Gene.102256__NODE_26504_length_1902_cov_307.218082_g10762_i0__g.102256__m.102256,Cruzella_marina
OG0002985,344,Gene.102349__NODE_26543_length_1900_cov_100.710916_g10780_i0__g.102349__m.102349,Cruzella_marina
OG0003293,607,Gene.102513__NODE_26622_length_1895_cov_91.863036_g10811_i0__g.102513__m.102513,Cruzella_marina
OG0003397,421,Gene.103272__NODE_26956_length_1874_cov_197.967168_g10956_i0__g.103272__m.103272,Cruzella_marina
OG0003855,605,Gene.103285__NODE_26961_length_1874_cov_74.099610_g10484_i1__g.103285__m.103285,Cruzella_marina
OG0004032,336,Gene.103544__NODE_27080_length_1867_cov_57.841899_g11004_i0__g.103544__m.103544,Cruzella_marina
OG0002845,604,Gene.103563__NODE_27086_length_1867_cov_24.730726_g10951_i1__g.103563__m.103563,Cruzella_marina
OG0003049,287,Gene.103990__NODE_27288_length_1855_cov_58.045557_g10611_i3__g.103990__m.103990,Cruzella_marina
OG0003190,544,Gene.104009__NODE_27298_length_1855_cov_24.401575_g11014_i2__g.104009__m.104009,Cruzella_marina
OG0003723,852,Gene.20754__NODE_2729_length_5662_cov_102.391585_g1318_i0__g.20754__m.20754,Cruzella_marina
OG0002819,474,Gene.104033__NODE_27311_length_1854_cov_169.308385_g6981_i5__g.104033__m.104033,Cruzella_marina
OG0003394,544,Gene.104096__NODE_27334_length_1853_cov_40.509572_g11115_i1__g.104096__m.104096,Cruzella_marina
OG0003511,357,Gene.104121__NODE_27348_length_1852_cov_131.098592_g11118_i0__g.104121__m.104121,Cruzella_marina
OG0003647,203,Gene.104154__NODE_27360_length_1851_cov_284.844419_g10994_i1__g.104154__m.104154,Cruzella_marina
OG0003114,355,Gene.104306__NODE_27435_length_1847_cov_86.633898_g2490_i3__g.104306__m.104306,Cruzella_marina
OG0003183,227,Gene.104410__NODE_27481_length_1844_cov_262.087153_g10917_i1__g.104410__m.104410,Cruzella_marina
OG0003009,447,Gene.104450__NODE_27503_length_1843_cov_113.211778_g11182_i0__g.104450__m.104450,Cruzella_marina
OG0003379,583,Gene.104570__NODE_27556_length_1840_cov_99.328417_g11210_i0__g.104570__m.104570,Cruzella_marina
OG0002543,602,Gene.104612__NODE_27573_length_1839_cov_154.794552_g11215_i0__g.104612__m.104612,Cruzella_marina
OG0003014,573,Gene.104657__NODE_27595_length_1838_cov_25.931289_g11224_i1__g.104657__m.104657,Cruzella_marina
OG0002529,607,Gene.105116__NODE_27794_length_1825_cov_32.695080_g11311_i0__g.105116__m.105116,Cruzella_marina
OG0002520,569,Gene.105163__NODE_27817_length_1823_cov_44.690722_g10719_i1__g.105163__m.105163,Cruzella_marina
OG0004266,573,Gene.105386__NODE_27912_length_1819_cov_12.994834_g7204_i2__g.105386__m.105386,Cruzella_marina
OG0003031,347,Gene.105427__NODE_27929_length_1817_cov_317.698276_g11372_i0__g.105427__m.105427,Cruzella_marina
OG0003374,537,Gene.105660__NODE_28025_length_1812_cov_113.388473_g11235_i1__g.105660__m.105660,Cruzella_marina
OG0002569,587,Gene.105908__NODE_28142_length_1805_cov_184.942130_g11455_i0__g.105908__m.105908,Cruzella_marina
OG0003891,557,Gene.106075__NODE_28215_length_1801_cov_2554.498840_g11482_i0__g.106075__m.106075,Cruzella_marina
OG0003420,478,Gene.106076__NODE_28216_length_1801_cov_256.544084_g11483_i0__g.106076__m.106076,Cruzella_marina
OG0003726,587,Gene.106084__NODE_28220_length_1801_cov_66.403712_g11486_i0__g.106084__m.106084,Cruzella_marina
OG0003283,597,Gene.106113__NODE_28234_length_1800_cov_68.291352_g11492_i0__g.106113__m.106113,Cruzella_marina
OG0003696,222,Gene.106207__NODE_28277_length_1797_cov_78.493605_g11510_i0__g.106207__m.106207,Cruzella_marina
OG0002527,495,Gene.106259__NODE_28301_length_1796_cov_70.778941_g6887_i3__g.106259__m.106259,Cruzella_marina
OG0003431,431,Gene.106270__NODE_28310_length_1795_cov_2903.080326_g11496_i1__g.106270__m.106270,Cruzella_marina
OG0003885,503,Gene.106283__NODE_28315_length_1795_cov_86.032596_g11525_i0__g.106283__m.106283,Cruzella_marina
OG0002981,439,Gene.106449__NODE_28396_length_1790_cov_5270.884997_g9930_i1__g.106449__m.106449,Cruzella_marina
OG0002763,224,Gene.106589__NODE_28457_length_1787_cov_112.411696_g11586_i0__g.106589__m.106589,Cruzella_marina
OG0003501,537,Gene.106666__NODE_28491_length_1786_cov_17.708016_g11600_i0__g.106666__m.106666,Cruzella_marina
OG0003032,283,Gene.106942__NODE_28615_length_1778_cov_142.928865_g1630_i14__g.106942__m.106942,Cruzella_marina
OG0002740,283,Gene.107108__NODE_28690_length_1773_cov_206.754127_g11684_i0__g.107108__m.107108,Cruzella_marina
OG0003960,425,Gene.107140__NODE_28706_length_1772_cov_153.202360_g11691_i0__g.107140__m.107140,Cruzella_marina
OG0003829,552,Gene.107413__NODE_28831_length_1766_cov_11.841918_g11738_i0__g.107413__m.107413,Cruzella_marina
OG0002663,398,Gene.107424__NODE_28836_length_1765_cov_184.985782_g3257_i2__g.107424__m.107424,Cruzella_marina
OG0002959,359,Gene.107443__NODE_28843_length_1764_cov_93.312982_g11745_i0__g.107443__m.107443,Cruzella_marina
OG0003336,565,Gene.107544__NODE_28881_length_1761_cov_500.190024_g11762_i0__g.107544__m.107544,Cruzella_marina
OG0003036,256,Gene.107669__NODE_28936_length_1758_cov_63.133849_g11781_i0__g.107669__m.107669,Cruzella_marina
OG0003063,563,Gene.107968__NODE_29077_length_1750_cov_36.438733_g11847_i0__g.107968__m.107968,Cruzella_marina
OG0003401,283,Gene.108104__NODE_29138_length_1747_cov_267.064671_g11754_i1__g.108104__m.108104,Cruzella_marina
OG0002539,368,Gene.108205__NODE_29183_length_1744_cov_784.520696_g11896_i0__g.108205__m.108205,Cruzella_marina
OG0003012,531,Gene.108352__NODE_29257_length_1741_cov_85.093149_g11921_i0__g.108352__m.108352,Cruzella_marina
OG0002958,457,Gene.108388__NODE_29275_length_1740_cov_170.378833_g11928_i0__g.108388__m.108388,Cruzella_marina
OG0002565,556,Gene.108630__NODE_29391_length_1733_cov_145.567633_g11975_i0__g.108630__m.108630,Cruzella_marina
OG0003758,575,Gene.108774__NODE_29465_length_1728_cov_284.848577_g12009_i0__g.108774__m.108774,Cruzella_marina
OG0002502,495,Gene.22030__NODE_2953_length_5531_cov_301.155116_g1414_i0__g.22030__m.22030,Cruzella_marina
OG0004288,567,Gene.108984__NODE_29561_length_1723_cov_174.588092_g12047_i0__g.108984__m.108984,Cruzella_marina
OG0003451,450,Gene.109027__NODE_29581_length_1722_cov_92.869909_g12058_i0__g.109027__m.109027,Cruzella_marina
OG0003405,572,Gene.109194__NODE_29661_length_1718_cov_64.939062_g12085_i0__g.109194__m.109194,Cruzella_marina
OG0003000,472,Gene.109358__NODE_29736_length_1714_cov_70.286500_g12118_i0__g.109358__m.109358,Cruzella_marina
OG0003955,544,Gene.109397__NODE_29757_length_1713_cov_71.031785_g12129_i0__g.109397__m.109397,Cruzella_marina
OG0004037,438,Gene.109491__NODE_29805_length_1711_cov_49.294370_g12146_i0__g.109491__m.109491,Cruzella_marina
OG0003927,539,Gene.109720__NODE_29912_length_1705_cov_145.847052_g12188_i0__g.109720__m.109720,Cruzella_marina
OG0003044,344,Gene.109776__NODE_29937_length_1704_cov_55.108175_g12201_i0__g.109776__m.109776,Cruzella_marina
OG0002620,487,Gene.109922__NODE_30003_length_1701_cov_14.401478_g1629_i3__g.109922__m.109922,Cruzella_marina
OG0003963,381,Gene.110052__NODE_30067_length_1697_cov_5407.340123_g12254_i0__g.110052__m.110052,Cruzella_marina
OG0002527,495,Gene.110188__NODE_30133_length_1693_cov_82.665223_g6887_i5__g.110188__m.110188,Cruzella_marina
OG0003573,379,Gene.110300__NODE_30185_length_1691_cov_19.957249_g8689_i1__g.110300__m.110300,Cruzella_marina
OG0003920,342,Gene.110319__NODE_30194_length_1690_cov_89.168630_g12310_i0__g.110319__m.110319,Cruzella_marina
OG0002607,561,Gene.110427__NODE_30248_length_1687_cov_27.967081_g12330_i0__g.110427__m.110427,Cruzella_marina
OG0004025,553,Gene.110648__NODE_30364_length_1680_cov_80.822832_g12373_i0__g.110648__m.110648,Cruzella_marina
OG0003506,433,Gene.110694__NODE_30387_length_1679_cov_46.578652_g9396_i3__g.110694__m.110694,Cruzella_marina
OG0002616,463,Gene.110765__NODE_30422_length_1677_cov_67.073750_g9103_i2__g.110765__m.110765,Cruzella_marina
OG0002737,256,Gene.111054__NODE_30566_length_1669_cov_168.114950_g12453_i0__g.111054__m.111054,Cruzella_marina
OG0002966,333,Gene.111180__NODE_30629_length_1666_cov_87.425425_g1113_i10__g.111180__m.111180,Cruzella_marina
OG0002893,527,Gene.111317__NODE_30697_length_1663_cov_88.631148_g12509_i0__g.111317__m.111317,Cruzella_marina
OG0003419,393,Gene.111370__NODE_30721_length_1662_cov_279.705363_g12521_i0__g.111370__m.111370,Cruzella_marina
OG0003495,373,Gene.111706__NODE_30880_length_1653_cov_280.015228_g12581_i0__g.111706__m.111706,Cruzella_marina
OG0003389,485,Gene.111766__NODE_30908_length_1652_cov_31.328889_g12596_i0__g.111766__m.111766,Cruzella_marina
OG0002583,518,Gene.111929__NODE_30984_length_1648_cov_133.627626_g12627_i0__g.111929__m.111929,Cruzella_marina
OG0002942,529,Gene.111977__NODE_31011_length_1647_cov_228.262420_g12638_i0__g.111977__m.111977,Cruzella_marina
OG0002643,472,Gene.22968__NODE_3119_length_5425_cov_248.789267_g1489_i0__g.22968__m.22968,Cruzella_marina
OG0002653,461,Gene.112691__NODE_31365_length_1629_cov_43.936856_g12788_i0__g.112691__m.112691,Cruzella_marina
OG0004001,312,Gene.112712__NODE_31374_length_1629_cov_8.061856_g12792_i0__g.112712__m.112712,Cruzella_marina
OG0003461,462,Gene.112730__NODE_31384_length_1628_cov_76.162476_g12797_i0__g.112730__m.112730,Cruzella_marina
OG0003769,393,Gene.112822__NODE_31428_length_1626_cov_27.825694_g12397_i2__g.112822__m.112822,Cruzella_marina
OG0003177,504,Gene.112888__NODE_31460_length_1625_cov_40.421189_g12827_i0__g.112888__m.112888,Cruzella_marina
OG0003471,466,Gene.112933__NODE_31481_length_1624_cov_29.313510_g12836_i0__g.112933__m.112933,Cruzella_marina
OG0003384,511,Gene.113017__NODE_31523_length_1621_cov_642.270078_g12855_i0__g.113017__m.113017,Cruzella_marina
OG0002538,318,Gene.113129__NODE_31579_length_1617_cov_129.335065_g12880_i0__g.113129__m.113129,Cruzella_marina
OG0002811,538,Gene.113168__NODE_31600_length_1616_cov_138.090968_g1985_i2__g.113168__m.113168,Cruzella_marina
OG0003128,293,Gene.113222__NODE_31625_length_1615_cov_47.359558_g12902_i0__g.113222__m.113222,Cruzella_marina
OG0003858,527,Gene.113324__NODE_31670_length_1612_cov_216.730293_g12923_i0__g.113324__m.113324,Cruzella_marina
OG0003970,430,Gene.113476__NODE_31744_length_1608_cov_105.826911_g12957_i0__g.113476__m.113476,Cruzella_marina
OG0002508,508,Gene.113555__NODE_31782_length_1606_cov_78.499019_g8445_i2__g.113555__m.113555,Cruzella_marina
OG0003899,1794,Gene.23306__NODE_3182_length_5384_cov_26.289994_g1519_i0__g.23306__m.23306,Cruzella_marina
OG0004028,502,Gene.113669__NODE_31840_length_1603_cov_36.176278_g13002_i0__g.113669__m.113669,Cruzella_marina
OG0003474,475,Gene.113680__NODE_31848_length_1602_cov_183.675410_g12931_i1__g.113680__m.113680,Cruzella_marina
OG0003924,504,Gene.113737__NODE_31877_length_1601_cov_43.954724_g13013_i0__g.113737__m.113737,Cruzella_marina
OG0004286,524,Gene.113802__NODE_31907_length_1600_cov_20.699278_g12806_i1__g.113802__m.113802,Cruzella_marina
OG0004168,188,Gene.113863__NODE_31936_length_1598_cov_1879.503616_g7089_i4__g.113863__m.113863,Cruzella_marina
OG0002636,405,Gene.113865__NODE_31937_length_1598_cov_527.531887_g13034_i0__g.113865__m.113865,Cruzella_marina
OG0003015,414,Gene.113937__NODE_31975_length_1596_cov_327.619487_g13048_i0__g.113937__m.113937,Cruzella_marina
OG0003365,509,Gene.114128__NODE_32064_length_1591_cov_379.769485_g13089_i0__g.114128__m.114128,Cruzella_marina
OG0003625,527,Gene.114374__NODE_32191_length_1584_cov_36.530192_g13144_i0__g.114374__m.114374,Cruzella_marina
OG0002952,526,Gene.114505__NODE_32264_length_1580_cov_99.201597_g13176_i0__g.114505__m.114505,Cruzella_marina
OG0003546,338,Gene.114604__NODE_32316_length_1578_cov_6.237175_g13196_i0__g.114604__m.114604,Cruzella_marina
OG0003902,360,Gene.114886__NODE_32459_length_1570_cov_320.041527_g13258_i0__g.114886__m.114886,Cruzella_marina
OG0003809,776,Gene.23698__NODE_3252_length_5347_cov_65.334156_g1546_i0__g.23698__m.23698,Cruzella_marina
OG0002697,230,Gene.115072__NODE_32557_length_1565_cov_75.196237_g2596_i4__g.115072__m.115072,Cruzella_marina
OG0002607,509,Gene.115178__NODE_32609_length_1563_cov_29.438089_g13319_i0__g.115178__m.115178,Cruzella_marina
OG0003729,921,Gene.3778__NODE_326_length_10125_cov_161.572552_g167_i0__g.3778__m.3778,Cruzella_marina
OG0003018,414,Gene.115464__NODE_32759_length_1555_cov_228.923545_g13380_i1__g.115464__m.115464,Cruzella_marina
OG0002983,473,Gene.115473__NODE_32764_length_1555_cov_53.554804_g13391_i0__g.115473__m.115473,Cruzella_marina
OG0002579,600,Gene.23842__NODE_3277_length_5336_cov_179.946948_g1558_i0__g.23842__m.23842,Cruzella_marina
OG0002947,516,Gene.115635__NODE_32847_length_1551_cov_81.704885_g13432_i0__g.115635__m.115635,Cruzella_marina
OG0002949,514,Gene.115844__NODE_32952_length_1545_cov_45.062670_g13474_i0__g.115844__m.115844,Cruzella_marina
OG0003381,492,Gene.116263__NODE_33166_length_1534_cov_212.420728_g13559_i0__g.116263__m.116263,Cruzella_marina
OG0002719,311,Gene.116298__NODE_33187_length_1533_cov_23.498626_g13567_i0__g.116298__m.116298,Cruzella_marina
OG0002550,487,Gene.116363__NODE_33219_length_1531_cov_231.386520_g13585_i0__g.116363__m.116363,Cruzella_marina
OG0002619,428,Gene.116382__NODE_33233_length_1530_cov_120.883689_g2908_i1__g.116382__m.116382,Cruzella_marina
OG0002997,503,Gene.116643__NODE_33366_length_1523_cov_141.361687_g13644_i0__g.116643__m.116643,Cruzella_marina
OG0003625,438,Gene.116647__NODE_33369_length_1523_cov_40.304979_g13144_i1__g.116647__m.116647,Cruzella_marina
OG0004086,330,Gene.116711__NODE_33396_length_1521_cov_84.774931_g9816_i4__g.116711__m.116711,Cruzella_marina
OG0003654,220,Gene.116866__NODE_33476_length_1517_cov_59.102778_g13684_i0__g.116866__m.116866,Cruzella_marina
OG0002713,367,Gene.117139__NODE_33619_length_1509_cov_25.622207_g8700_i6__g.117139__m.117139,Cruzella_marina
OG0002962,465,Gene.117276__NODE_33680_length_1506_cov_59.521344_g13777_i0__g.117276__m.117276,Cruzella_marina
OG0002953,464,Gene.117311__NODE_33698_length_1505_cov_230.285014_g13788_i0__g.117311__m.117311,Cruzella_marina
OG0003919,454,Gene.117385__NODE_33732_length_1504_cov_288.956552_g13801_i0__g.117385__m.117385,Cruzella_marina
OG0003867,351,Gene.117612__NODE_33849_length_1498_cov_1338.069669_g13851_i0__g.117612__m.117612,Cruzella_marina
OG0003923,461,Gene.117614__NODE_33851_length_1498_cov_185.230120_g13852_i0__g.117614__m.117614,Cruzella_marina
OG0003115,358,Gene.117655__NODE_33870_length_1497_cov_101.387324_g13861_i0__g.117655__m.117655,Cruzella_marina
OG0003041,462,Gene.117741__NODE_33915_length_1495_cov_226.740480_g13880_i0__g.117741__m.117741,Cruzella_marina
OG0002986,452,Gene.117747__NODE_33920_length_1495_cov_40.363188_g13883_i0__g.117747__m.117747,Cruzella_marina
OG0002532,441,Gene.117807__NODE_33951_length_1493_cov_59.690678_g13898_i0__g.117807__m.117807,Cruzella_marina
OG0003200,393,Gene.118001__NODE_34047_length_1489_cov_45.922805_g13841_i1__g.118001__m.118001,Cruzella_marina
OG0003482,386,Gene.118103__NODE_34099_length_1486_cov_56.105749_g13961_i0__g.118103__m.118103,Cruzella_marina
OG0004272,234,Gene.118237__NODE_34178_length_1482_cov_81.607117_g14002_i0__g.118237__m.118237,Cruzella_marina
OG0002640,396,Gene.118286__NODE_34205_length_1481_cov_67.770655_g14010_i0__g.118286__m.118286,Cruzella_marina
OG0002700,429,Gene.118339__NODE_34232_length_1480_cov_66.404134_g14021_i0__g.118339__m.118339,Cruzella_marina
OG0003029,474,Gene.118389__NODE_34264_length_1478_cov_42.201285_g14036_i0__g.118389__m.118389,Cruzella_marina
OG0003901,467,Gene.118450__NODE_34295_length_1476_cov_141.373838_g14049_i0__g.118450__m.118450,Cruzella_marina
OG0004268,488,Gene.118462__NODE_34301_length_1476_cov_50.764832_g14050_i0__g.118462__m.118462,Cruzella_marina
OG0003160,273,Gene.118739__NODE_34454_length_1468_cov_381.853343_g14122_i0__g.118739__m.118739,Cruzella_marina
OG0004052,375,Gene.118832__NODE_34502_length_1466_cov_105.417567_g14148_i0__g.118832__m.118832,Cruzella_marina
OG0003457,399,Gene.118875__NODE_34524_length_1465_cov_148.825648_g14161_i0__g.118875__m.118875,Cruzella_marina
OG0003814,463,Gene.118897__NODE_34534_length_1465_cov_17.234150_g14165_i0__g.118897__m.118897,Cruzella_marina
OG0002996,472,Gene.119169__NODE_34685_length_1457_cov_73.315217_g14230_i0__g.119169__m.119169,Cruzella_marina
OG0003075,462,Gene.119211__NODE_34704_length_1456_cov_21.374184_g14237_i0__g.119211__m.119211,Cruzella_marina
OG0003613,313,Gene.119225__NODE_34712_length_1455_cov_311.922351_g14160_i1__g.119225__m.119225,Cruzella_marina
OG0003840,464,Gene.119299__NODE_34756_length_1453_cov_119.067587_g14257_i0__g.119299__m.119299,Cruzella_marina
OG0003604,295,Gene.119328__NODE_34771_length_1452_cov_128.114909_g14268_i0__g.119328__m.119328,Cruzella_marina
OG0002555,543,Gene.24954__NODE_3478_length_5242_cov_109.713456_g1639_i0__g.24954__m.24954,Cruzella_marina
OG0003425,471,Gene.119364__NODE_34790_length_1451_cov_249.321689_g14276_i0__g.119364__m.119364,Cruzella_marina
OG0003895,477,Gene.119370__NODE_34793_length_1451_cov_87.236536_g14277_i0__g.119370__m.119370,Cruzella_marina
OG0003016,429,Gene.119393__NODE_34807_length_1450_cov_3066.045157_g14285_i0__g.119393__m.119393,Cruzella_marina
OG0002635,452,Gene.119400__NODE_34811_length_1450_cov_147.986162_g14287_i0__g.119400__m.119400,Cruzella_marina
OG0002992,480,Gene.119417__NODE_34819_length_1450_cov_44.056810_g14291_i0__g.119417__m.119417,Cruzella_marina
OG0003894,358,Gene.119477__NODE_34849_length_1448_cov_224.555799_g14305_i0__g.119477__m.119477,Cruzella_marina
OG0002644,387,Gene.119647__NODE_34934_length_1444_cov_47.537674_g14349_i0__g.119647__m.119647,Cruzella_marina
OG0003359,443,Gene.119770__NODE_34998_length_1441_cov_91.812317_g14381_i0__g.119770__m.119770,Cruzella_marina
OG0003462,378,Gene.119798__NODE_35011_length_1441_cov_17.521261_g14386_i0__g.119798__m.119798,Cruzella_marina
OG0002564,476,Gene.119827__NODE_35027_length_1440_cov_51.713866_g14338_i1__g.119827__m.119827,Cruzella_marina
OG0003761,464,Gene.119925__NODE_35084_length_1437_cov_56.047794_g14415_i0__g.119925__m.119925,Cruzella_marina
OG0002707,289,Gene.119959__NODE_35100_length_1436_cov_136.479029_g14423_i0__g.119959__m.119959,Cruzella_marina
OG0003532,289,Gene.119996__NODE_35118_length_1435_cov_73.748895_g5326_i2__g.119996__m.119996,Cruzella_marina
OG0002729,209,Gene.120037__NODE_35143_length_1434_cov_221.580693_g14446_i0__g.120037__m.120037,Cruzella_marina
OG0003956,385,Gene.120087__NODE_35167_length_1433_cov_43.235988_g14456_i0__g.120087__m.120087,Cruzella_marina
OG0003555,330,Gene.120089__NODE_35168_length_1433_cov_31.762537_g14457_i0__g.120089__m.120089,Cruzella_marina
OG0003480,384,Gene.120211__NODE_35238_length_1429_cov_506.952663_g14491_i0__g.120211__m.120211,Cruzella_marina
OG0002998,447,Gene.120244__NODE_35256_length_1428_cov_159.367135_g14498_i0__g.120244__m.120244,Cruzella_marina
OG0003089,399,Gene.120418__NODE_35356_length_1423_cov_95.416790_g14539_i0__g.120418__m.120418,Cruzella_marina
OG0003377,531,Gene.25290__NODE_3537_length_5215_cov_390.364539_g329_i7__g.25290__m.25290,Cruzella_marina
OG0002679,444,Gene.120504__NODE_35404_length_1421_cov_110.624256_g14558_i0__g.120504__m.120504,Cruzella_marina
OG0002638,467,Gene.120557__NODE_35439_length_1419_cov_111.410581_g14570_i0__g.120557__m.120557,Cruzella_marina
OG0003835,595,Gene.25351__NODE_3548_length_5210_cov_263.551529_g1667_i0__g.25351__m.25351,Cruzella_marina
OG0003938,461,Gene.120728__NODE_35524_length_1415_cov_434.433483_g14608_i0__g.120728__m.120728,Cruzella_marina
OG0003099,386,Gene.120729__NODE_35525_length_1415_cov_159.426756_g3096_i3__g.120729__m.120729,Cruzella_marina
OG0003827,442,Gene.120730__NODE_35527_length_1415_cov_114.348281_g14609_i0__g.120730__m.120730,Cruzella_marina
OG0003475,425,Gene.120824__NODE_35575_length_1413_cov_86.383234_g14625_i0__g.120824__m.120824,Cruzella_marina
